hobbies
3d printing
acting
amateur radio
animation
aquascaping
astrology
art
baton twirling
binge-watching
blogging
board/tabletop games
book discussion clubs
book restoration
bowling
brazilian jiu-jitsu
breadmaking
building
bullet journaling
cabaret
calligraphy
candle making
candy making
car fixing & building
card games
cardistry
ceramics
cheesemaking
chess
cleaning
clothesmaking
coffee roasting
collecting
coloring
communication
computer programming
confectionery
construction
cooking
cosplaying
couponing
craft
creative writing
crocheting
cross-stitch
crossword puzzles
cryptography
cue sports
dance
dancing
digital arts
distro hopping
djing
diving
do it yourself
drama
drawing
drink mixing
drinking
electronic games
electronics
embroidery
experimenting
fantasy sports
fashion
fashion design
fishfarming
fishkeeping
filmmaking
flower arranging
fly tying
foreign language learning
furniture building
gaming (tabletop games and role-playing games)
genealogy
gingerbread house making
glassblowing
graphic design
gunsmithing
gymnastics
hacking
hardware
herp keeping
home improvement
homebrewing
homologation
houseplant care
hula hooping
humor
hydroponics
ice skating
jewelry making
jigsaw puzzles
journaling
juggling
karaoke
karate
kendama
knife making
knitting
knot tying
kombucha brewing
lace making
lapidary
leather crafting
lego building
live steam
listening to music
listening to podcasts
lock picking
machining
mechanics
macrame
magic
makeup
mazes (indoor/outdoor)
meditation
metalworking
model building
model engineering
music
nail art
needlepoint
origami
painting
performance
planning
palmistry
pet
pet adoption & fostering
philately
photography
pilates
plastic art
playing musical instruments
poi
pole dancing
pottery
powerlifting
practical jokes
pressed flower craft
proverbs
puzzles
pyrography
quilling
quilting
quizzes
radio-controlled model playing
rail transport modeling
rapping
reading
refinishing
reiki
robot combat
rubik's cube
saddlering
scrapbooking
scuba diving
sculpting
sewing
shoemaking
singing
sketching
skipping rope
slot car
soapmaking
social media
spreadsheets
stand-up comedy
stamp collecting
table tennis playing
tarot
taxidermy
thrifting
video editing
video game developing
video gaming
video making
vr gaming
watching movies
watching television
waxing
weaving
webtooning
weight training
welding
whittling
wikipedia editing
winemaking
wood carving
woodworking
word searches
worldbuilding
writing
yo-yoing
yoga
zumba
air sports
airsoft
amateur geology
amusement park visiting
archery
automobilism
astronomy
backpacking
badminton
base jumping
baseball
basketball
beekeeping
birdwatching
blacksmithing
bmx
board sports
bodybuilding
bonsai
butterfly watching
bus riding
camping
canoeing
canyoning
car riding
caving
composting
cycling
dowsing
driving
farming
fishing
flag football
flower growing
flying
flying disc
foraging
fossicking
freestyle football
gardening
geocaching
ghost hunting
gold prospecting
graffiti
handball
herbalism
herping
high-power rocketry
hiking
hobby horsing
hobby tunneling
hooping
horseback riding
hunting
inline skating
jogging
jumping rope
karting
kayaking
kite flying
kitesurfing
lacrosse
larping
letterboxing
longboarding
martial arts
metal detecting
modelism
motorcycling
meteorology
motor sports
mountain biking
mountaineering
museum visiting
mushroom hunting/mycology
netball
nordic skating
orienteering
paintball
parkour
photography
podcast hosting
polo
public transport riding
radio-controlled model playing
rafting
railway journeys
rappelling
road biking
rock climbing
roller skating
rugby
running
sailing
sand art
scouting
scuba diving
sculling or rowing
shooting
shopping
shuffleboard
skateboarding
skiing
skimboarding
skydiving
slacklining
snowboarding
snowmobiling
snowshoeing
soccer
stone skipping
sun bathing
surfing
survivalism
swimming
taekwondo
tai chi
tennis
thru-hiking
topiary
tourism
trade fair visiting
travel
urban exploration
vacation
vegetable farming
vehicle restoration
videography
walking
water sports
astronomy
biology
chemistry
electrochemistry
geography
history
mathematics
medical science
microbiology
physics
psychology
railway studies
research
science and technology studies
social studies
sports science
action figure
antiquing
ant-keeping
art collecting
book collecting
button collecting
cartophily (card collecting)
coin collecting
comic book collecting
compact discs
deltiology (postcard collecting)
die-cast toy
digital hoarding
dolls
element collecting
ephemera collecting
films
fingerprint collecting
fusilately (phonecard collecting)
knife collecting
lotology (lottery ticket collecting)
movie memorabilia collecting
perfume
philately
phillumeny
pin (lapel)
radio-controlled model collecting
rail transport modelling
record collecting
rock tumbling
scutelliphily
shoes
slot car
sports memorabilia
stamp collecting
stuffed toy collecting
tea bag collecting
ticket collecting
toys
transit map collecting
video game collecting
vintage cars
vintage clothing
vinyl records
antiquities
auto audiophilia
flower collecting and pressing
fossil hunting
insect collecting
magnet fishing
metal detecting
mineral collecting
rock balancing
sea glass collecting
seashell collecting
stone collecting
animal fancy
axe throwing
backgammon
badminton
baton twirling
beauty pageants
billiards
bowling
boxing
bridge
checkers (draughts)
cheerleading
chess
color guard
cribbage
curling
dancing
darts
debate
dominoes
eating
esports
fencing
go
gymnastics
ice hockey
ice skating
judo
jujitsu
kabaddi
knowledge/word games
laser tag
longboarding
magic
mahjong
marbles
martial arts
model racing
model united nations
poker
pole dancing
radio-controlled model playing
pool
role-playing games
shogi
slot car racing
speedcubing
sport stacking
table football
table tennis
volleyball
weightlifting
vr gaming
wrestling
airsoft
archery
association football
australian rules football
auto racing
baseball
beach volleyball
breakdancing
climbing
cornhole
cricket
croquet
cycling
disc golf
dog sport
equestrianism
exhibition drill
field hockey
figure skating
fishing
fitness
footbag
frisbee
golfing
handball
horseback riding
horsemanship
horseshoes
iceboat racing
jukskei
kart racing
knife throwing
lacrosse
longboarding
long-distance running
marching band
model aircraft
orienteering
pickleball
powerboat racing
quidditch
race walking
